field1,field2,field3,field4,field5,_GC_TYPE,_X,_Y
경기도,남양주시,수동면 외방로 172번길 58,경기도 남양주시 수동면 외방로 172번길 58,서울특별시 축령정신병원,정,127.31023717458768,37.739494847768235
전라남도,고흥군,고흥읍 고흥로 1941,전라남도 고흥군 고흥읍 고흥로 1941,고흥군공립노인전문요양병원,정,127.29424481848677,34.622213465552235
전라남도,광양시,진등길 91(마동),전라남도 광양시 진등길 91(마동),광양시공립 노인전문요양병원,정,127.69009760615762,34.95748314249398
울산광역시,울주군,온양읍 덕남로 243 (동상리),울산광역시 울주군 온양읍 덕남로 243 (동상리),울산광역시립노인병원,정,129.29760603913562,35.421990388924904
부산광역시,연제구,월드컵대로 359,부산광역시 연제구 월드컵대로 359,부산광역시의료원,정,129.05741771026027,35.18750711993748
전라남도,무안군,무안읍몽탄로 51-12,전라남도 무안군 무안읍몽탄로 51-12,공립무안군 노인전문요양병원,정,126.48920192899706,34.99322510730123
전라남도,목포시,신지마을 1길 75(석현동 45),전라남도 목포시 신지마을 1길 75(석현동 45),국립목포병원,정,126.43689119914447,34.82545813436147
전라북도,전주시,완산구 능안자구길 80,전라북도 전주시 완산구 능안자구길 80,전주시노인복지병원,정,127.0857345038901,35.80408038734571
경기도,남양주시,수동면 외방로 172번길 58,경기도 남양주시 수동면 외방로 172번길 58,서울특별시 축령정신병원,정,127.31023717458768,37.739494847768235
전라남도,여수시,둔덕5길 29(471-100번지),전라남도 여수시 둔덕5길 29(471-100번지),여수시 노인전문요양병원,정,127.69951068226747,34.764553001944556
전라남도,보성군,벌교읍 남하로 4-10,전라남도 보성군 벌교읍 남하로 4-10,보성군립 노인전문요양병원,정,127.34504196383145,34.833593557134286
충청남도,공주시,반포면 반포초교길 253,충청남도 공주시 반포면 반포초교길 253,국립법무병원(치료감호소),정,127.23829389633623,36.41225477812584
서울특별시,중랑구,양원역로 38,서울특별시 중랑구 양원역로 38,서울특별시 북부병원,정,127.10768145792613,37.60439476739293
전라남도,장성군,장성읍 강변안길 100 (기산리 489-5),전라남도 장성군 장성읍 강변안길 100 (기산리 489-5),장성공립 노인전문요양병원,정,126.77745049593139,35.30231732654665
전라남도,진도군,의신면 운림산방로 31,전라남도 진도군 의신면 운림산방로 31,진도군 노인전문요양병원,정,126.27865445627376,34.46511424769923
서울특별시,서초구,"헌릉로 260 (내곡동 ,서울시립어린이병원)","서울특별시 서초구 헌릉로 260 (내곡동 ,서울시립어린이병원)",서울특별시 어린이병원,정,127.06881703877377,37.455292155659194
제주특별자치도,서귀포시,동문로 1,제주특별자치도 서귀포시 동문로 1,제주권역재활병원,정,126.56246751146745,33.2528817851119
인천광역시,옹진군,백령로 233,인천광역시 옹진군 백령로 233,인천광역시의료원 백령병원,정,124.72077988064099,37.96745066409345
전라남도,함평군,학교면 학교화산길 16-19,전라남도 함평군 학교면 학교화산길 16-19,참사랑요양병원(함평군공립요양병원),정,126.53666305241626,35.04869749774139
전라북도,남원시,충정로 365번지(고죽동),전라북도 남원시 충정로 365번지(고죽동),전라북도 남원의료원,정,127.40583996547467,35.43301993596164
서울특별시,강남구,헌릉로 590길 60,서울특별시 강남구 헌릉로 590길 60,강남구립행복요양병원,정,127.10332331493144,37.461177259892715
전라남도,신안군,압해읍 구항길 92-50,전라남도 신안군 압해읍 구항길 92-50,신안군 노인전문요양병원,정,126.31379535648166,34.853129455206656
전라북도,군산시,의료원로 27,전라북도 군산시 의료원로 27,전라북도 군산의료원,정,126.71191857176784,35.954930741569214
경상남도,창원시,마산합포구 가포로 215,경상남도 창원시 마산합포구 가포로 215,국립마산병원,정,128.56410590281385,35.1680288691051
전라북도,완주군,상관면 북치길 44-54,전라북도 완주군 상관면 북치길 44-54,완주군아름다운노인전문병원,정,127.2300193051859,35.72953878510926
경기도,용인시,기흥구 중부대로 940,경기도 용인시 기흥구 중부대로 940,서울특별시 용인정신병원,정,127.15453014837489,37.25103698574395
전라남도,곡성군,겸면 곡순로 1756번지,전라남도 곡성군 겸면 곡순로 1756번지,곡성군립 노인전문요양병원,정,127.18427042392682,35.25309877199431
충청남도,홍성군,홍성읍 조양로  224,충청남도 홍성군 홍성읍 조양로  224,충청남도도립 홍성노인전문병원,정,126.67457735920094,36.59886844088222
전라북도,진안군,진안읍 진무로 1145,전라북도 진안군 진안읍 진무로 1145,진안군의료원,정,127.43203931611298,35.79510949236693
전라남도,영광군,영광읍 와룡로 3-1,전라남도 영광군 영광읍 와룡로 3-1,영광군공립요양병원,정,126.49996780473407,35.2848714290803
충청남도,천안시,동남구 목천읍 삼방로 735(천안시립노인병원),충청남도 천안시 동남구 목천읍 삼방로 735(천안시립노인병원),천안시립노인전문병원,정,127.22703559909066,36.82554201762185
서울특별시,은평구,갈현로7길  49,서울특별시 은평구 갈현로7길  49,서울특별시 서북병원,정,126.90522639470352,37.60417903981039
전라북도,남원시,산성길 51-15(산곡동),전라북도 남원시 산성길 51-15(산곡동),전라북도 남원노인요양병원,정,127.37320823046322,35.4209283115786
제주특별자치도,제주시,산천단 남길 10,제주특별자치도 제주시 산천단 남길 10,제주특별자치도 제주의료원,정,126.56084656256769,33.444892341791274
충청남도,보령시,청라면 질재로 373,충청남도 보령시 청라면 질재로 373,보령시립 노인전문병원,정,126.60902803382936,36.405968730031326
인천광역시,서구,심곡로 132번길 21-1,인천광역시 서구 심곡로 132번길 21-1,인천시립치매요양병원,정,126.68517844644062,37.546689392069794
전라북도,정읍시,금붕1길 160-15,전라북도 정읍시 금붕1길 160-15,정읍시립요양병원,정,126.89121417712744,35.550859526866276
충청남도,서산시,중앙로 149번지(석림동 568-5),충청남도 서산시 중앙로 149번지(석림동 568-5),충청남도도립서산노인전문병원,정,126.46573987727946,36.77564372996484
전라남도,화순군,화순읍 서양로 330,전라남도 화순군 화순읍 서양로 330,화순노인전문병원,정,127.00245216748037,35.06186559026949
경기도,용인시,처인구 백암면 용천로 71번길 30,경기도 용인시 처인구 백암면 용천로 71번길 30,서울시립 백암정신병원,정,127.36480787812025,37.12213162937928
충청남도,공주시,무령로 77 (웅진동),충청남도 공주시 무령로 77 (웅진동),충청남도 공주의료원,정,127.109495469895,36.458877785757814
충청북도,청주시,서원구 궁뜰로 62번길 29(장성동),충청북도 청주시 서원구 궁뜰로 62번길 29(장성동),청주시립요양병원,정,127.48184347251602,36.5961487738166
충청남도,논산시,시민로 294번길 11,충청남도 논산시 시민로 294번길 11,논산시립노인전문병원,정,127.09345643123274,36.19280999631901
충청북도,제천시,금성면 청풍호로 1147,충청북도 제천시 금성면 청풍호로 1147,청풍호노인사랑병원,정,128.17511502992642,37.0587714173762
전라남도,목포시,용해동 133-1번지,전라남도 목포시 용해동 133-1번지,목포시의료원,정,126.40536572118188,34.80397958193273
충청남도,천안시,동남구 충절로 537(삼룡동),충청남도 천안시 동남구 충절로 537(삼룡동),충청남도 천안의료원,정,127.17927583039106,36.77548859974812
